사업장명,상세영업상태명,소재지전체주소,도로명전체주소,도로명우편번호,업종구분소분류,도,시,로
대니보이,영업,제주특별자치도 제주시 외도이동 338-1번지 101호,"제주특별자치도 제주시 일주서로 7353 (외도이동,101호)",63068.0,경양식,제주특별자치도,제주시,일주서로
웰빙밥도둑,영업,제주특별자치도 제주시 연동 274-53번지 (1층),제주특별자치도 제주시 연동8길 9 (연동),63133.0,정종/대포집/소주방,제주특별자치도,제주시,연동8길
마라탕에취한날,영업,제주특별자치도 제주시 삼도이동 186-5,제주특별자치도 제주시 관덕로8길 40 (삼도이동),63169.0,경양식,제주특별자치도,제주시,관덕로8길
제주스크린골프존,영업,제주특별자치도 제주시 도남동 74-1 (2층),제주특별자치도 제주시 연삼로 346 (도남동),63221.0,기타,제주특별자치도,제주시,연삼로
단지,영업,제주특별자치도 제주시 화북일동 2132-5번지,제주특별자치도 제주시 선반로 78 (화북일동),63299.0,한식,제주특별자치도,제주시,선반로
조우하다,영업,제주특별자치도 제주시 영평동 2669-4번지,"제주특별자치도 제주시 연신로 157, 1층 (영평동)",63308.0,식육(숯불구이),제주특별자치도,제주시,연신로
이가네일품해장국신제주점,영업,제주특별자치도 제주시 연동 1965-1번지,제주특별자치도 제주시 성신로 15 (연동),63127.0,한식,제주특별자치도,제주시,성신로
전농이십칠,영업,제주특별자치도 제주시 삼도일동 719-4,제주특별자치도 제주시 전농로 27 (삼도일동),63173.0,경양식,제주특별자치도,제주시,전농로
골든식당,영업,제주특별자치도 제주시 오라일동 2442-5번지,"제주특별자치도 제주시 서광로2길 9, 1층 (오라일동)",63188.0,한식,제주특별자치도,제주시,서광로2길
아끈식당,영업,제주특별자치도 제주시 조천읍 신촌리 2204번지,"제주특별자치도 제주시 조천읍 신촌북2길 31-3, 1층",63337.0,까페,제주특별자치도,제주시,조천읍
향토음식도두항식당,영업,제주특별자치도 제주시 도두일동 2629-5번지,"제주특별자치도 제주시 도두항서길 11-2, 1층 (도두일동)",63113.0,한식,제주특별자치도,제주시,도두항서길
월평식당,영업,제주특별자치도 제주시 월평동 1035,"제주특별자치도 제주시 아봉로 372-1, 1층 (월평동)",63311.0,한식,제주특별자치도,제주시,아봉로
둥지,영업,제주특별자치도 제주시 연동 272-38,"제주특별자치도 제주시 신대로14길 50, 1층 (연동)",63124.0,호프/통닭,제주특별자치도,제주시,신대로14길
롯데지알에스풀바,영업,제주특별자치도 제주시 연동 2324-6,"제주특별자치도 제주시 도령로 83, 6층 (연동)",63127.0,호프/통닭,제주특별자치도,제주시,도령로
딤섬9898,영업,제주특별자치도 제주시 노형동 0 노형2지구5블럭9로트,"제주특별자치도 제주시 노형8길 17, 1층 (노형동)",63083.0,한식,제주특별자치도,제주시,노형8길
소로소로,영업,제주특별자치도 제주시 구좌읍 송당리 1389-6번지,"제주특별자치도 제주시 구좌읍 송당7길 3, 1층",63355.0,기타,제주특별자치도,제주시,구좌읍
복여네돈까스,영업,제주특별자치도 제주시 우도면 연평리 880-2번지,"제주특별자치도 제주시 우도면 우도로 323, 1층 제2호",63365.0,한식,제주특별자치도,제주시,우도면
유피에스,영업,제주특별자치도 제주시 이도이동 1186-11번지,"제주특별자치도 제주시 광양14길 11, 지하1층 (이도이동)",63207.0,호프/통닭,제주특별자치도,제주시,광양14길
비에이치씨도남점,영업,제주특별자치도 제주시 도남동 66-2,"제주특별자치도 제주시 도남로 103, 1층 (도남동)",63221.0,한식,제주특별자치도,제주시,도남로
죽성고을,영업,제주특별자치도 제주시 오등동 455-4,"제주특별자치도 제주시 한북로 176, 1층 (오등동)",63240.0,한식,제주특별자치도,제주시,한북로
찰리아저씨맛집,영업,제주특별자치도 제주시 한경면 고산리 2768-2,"제주특별자치도 제주시 한경면 용고로 118-2, 1층",63008.0,한식,제주특별자치도,제주시,한경면
발그스레,영업,제주특별자치도 제주시 노형동 933-13번지,"제주특별자치도 제주시 원노형6길 19, 1층 (노형동)",63082.0,한식,제주특별자치도,제주시,원노형6길
이모네분식,영업,제주특별자치도 제주시 한림읍 한림리 1460-1번지,제주특별자치도 제주시 한림읍 한림로4길 15,63032.0,분식,제주특별자치도,제주시,한림읍
지금이순간,영업,제주특별자치도 제주시 애월읍 애월리 2464-2,"제주특별자치도 제주시 애월읍 애월로 15-1, 지하1층",63043.0,기타,제주특별자치도,제주시,애월읍
구멍가게,영업,제주특별자치도 제주시 조천읍 함덕리 1001번지,"제주특별자치도 제주시 조천읍 함덕14길 2, 1층",63333.0,기타,제주특별자치도,제주시,조천읍
주민상회신광점,영업,제주특별자치도 제주시 연동 2326-4,"제주특별자치도 제주시 성신로1길 25, 1층 (연동)",63126.0,기타,제주특별자치도,제주시,성신로1길
달빛에구운고등어제주점,영업,제주특별자치도 제주시 이도이동 1986-8,"제주특별자치도 제주시 중앙로 381, 1층 (이도이동)",63230.0,뷔페식,제주특별자치도,제주시,중앙로
경복정,영업,제주특별자치도 제주시 일도이동 157-31번지 (1층),제주특별자치도 제주시 고마로9길 21 (일도이동),63252.0,한식,제주특별자치도,제주시,고마로9길
신제주양곱창,영업,제주특별자치도 제주시 노형동 915-2번지 외1필지 101호,"제주특별자치도 제주시 원노형로 23, 101호 (노형동)",63081.0,한식,제주특별자치도,제주시,원노형로
하루하나,영업,제주특별자치도 제주시 애월읍 장전리 201-1번지 (1층),"제주특별자치도 제주시 애월읍 장전로 155, 1층",63055.0,까페,제주특별자치도,제주시,애월읍
바다는김녕,영업,제주특별자치도 제주시 구좌읍 김녕리 1270-3번지,"제주특별자치도 제주시 구좌읍 김녕로21길 25, 가동 1층",63357.0,기타,제주특별자치도,제주시,구좌읍
시월,영업,제주특별자치도 제주시 이도이동 1989-9번지,"제주특별자치도 제주시 남광로2길 21, 1층 (이도이동)",63231.0,기타,제주특별자치도,제주시,남광로2길
신제주삼보,영업,제주특별자치도 제주시 연동 293-23,제주특별자치도 제주시 신대로16길 10 (연동),63123.0,한식,제주특별자치도,제주시,신대로16길
다시정식당,영업,제주특별자치도 제주시 애월읍 곽지리 1622-47,제주특별자치도 제주시 애월읍 곽지9길 45,63034.0,한식,제주특별자치도,제주시,애월읍
커피한라,영업,제주특별자치도 제주시 노형동 755-6,제주특별자치도 제주시 정원로 57 (노형동),63089.0,기타,제주특별자치도,제주시,정원로
오식당,영업,제주특별자치도 제주시 용담이동 675-2번지,"제주특별자치도 제주시 용문로 113, 1층 (용담이동)",63159.0,한식,제주특별자치도,제주시,용문로
미소정,영업,제주특별자치도 제주시 조천읍 와흘리 126-1,"제주특별자치도 제주시 조천읍 남조로 2347, 다동 1층",63344.0,식육(숯불구이),제주특별자치도,제주시,조천읍
교반제주한림점,영업,제주특별자치도 제주시 한림읍 한림리 1371-21,"제주특별자치도 제주시 한림읍 한림로5길 7, 1층",63032.0,기타,제주특별자치도,제주시,한림읍
